GEOID,County,Cox,Moore,Lashar,Wallace,Harding,Sefcik,Write-ins,county_totals,Write.ins
24001,Allegany,13833,6390,279,143,267,0,17,44930,NA
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,192551,NA
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,153083,NA
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,249978,NA
24009,Calvert,18447,14236,504,142,242,0,89,57669,NA
24011,Caroline,6727,3276,176,56,140,0,21,34407,NA
24013,Carroll,38969,25155,1515,436,561,0,301,90950,NA
24015,Cecil,18159,8691,472,155,311,21,35,51859,NA
24017,Charles,15096,33633,408,283,414,0,78,73929,NA
24019,Dorchester,6169,4341,139,69,157,0,19,34913,NA
24021,Frederick,44307,51423,1700,555,722,0,306,123034,NA
24023,Garrett,8195,2402,194,52,138,0,15,35019,NA
24025,Harford,51930,40837,2033,618,914,0,301,120658,NA
24027,Howard,33110,83690,2464,802,713,0,419,145225,NA
24029,Kent,3718,4256,106,56,93,0,10,32268,NA
24031,Montgomery,58701,227161,3443,2444,1677,0,768,318225,NA
24033,Prince George's,17937,179968,1081,1693,1984,0,314,227010,NA
24035,Queen Anne's,12840,8577,416,120,212,0,89,46289,NA
24037,Saint Mary's,20670,14365,720,263,361,0,86,60502,NA
24039,Somerset,3974,2254,67,46,81,0,6,30467,NA
24041,Talbot,7497,7989,289,70,128,0,44,40058,NA
24043,Washington,27571,17006,646,257,483,0,75,70081,NA
24045,Wicomico,14612,12213,388,171,358,0,46,51833,NA
24047,Worcester,13433,8550,273,121,161,0,31,46616,NA
577079,Complete total,601816,1094234,26142,12419,15237,21,NA,2331554,4606
